epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.744,1.57581,1.93123,1.4639,0.76477,0.82238,0.82369,0.47813,1.3474,1.77723,1.42957,0.000415561,0.000415561,0.000415561
2,207.676,1.48689,1.30758,1.42651,0.76209,0.79862,0.8491,0.50836,1.34095,1.70958,1.41752,0.000823989,0.000823989,0.000823989
3,298.074,1.43453,1.15286,1.40399,0.79957,0.83104,0.87119,0.51392,1.37663,1.30302,1.4311,0.00122417,0.00122417,0.00122417
4,390.727,1.38252,1.10222,1.36889,0.77718,0.84538,0.86304,0.49976,1.35265,1.4397,1.40948,0.00121287,0.00121287,0.00121287
5,480.072,1.3473,1.0468,1.33428,0.82211,0.85554,0.89867,0.56317,1.22659,1.16996,1.31492,0.0012005,0.0012005,0.0012005
6,570.379,1.34303,1.036,1.33658,0.81511,0.88496,0.91033,0.57792,1.16024,1.12507,1.2545,0.00118812,0.00118812,0.00118812
7,661.586,1.30226,0.95957,1.28274,0.85744,0.85924,0.91498,0.59584,1.1726,1.02804,1.26084,0.00117575,0.00117575,0.00117575
8,753.375,1.26975,0.94413,1.27468,0.83503,0.8706,0.89961,0.58204,1.15466,1.08858,1.24649,0.00116337,0.00116337,0.00116337
9,844.622,1.24329,0.90178,1.24715,0.85539,0.83805,0.90881,0.59221,1.16238,0.98833,1.24794,0.001151,0.001151,0.001151
10,936.506,1.25052,0.89132,1.26373,0.85719,0.87577,0.92716,0.60081,1.20097,0.91577,1.28561,0.00113863,0.00113863,0.00113863
11,1029.05,1.24593,0.85066,1.25997,0.83439,0.89424,0.92157,0.61135,1.12202,0.88699,1.23324,0.00112625,0.00112625,0.00112625
12,1122.01,1.24444,0.86161,1.2441,0.83731,0.88592,0.92649,0.604,1.12547,0.90683,1.23754,0.00111388,0.00111388,0.00111388
13,1217.12,1.22263,0.8388,1.24184,0.85476,0.88833,0.93128,0.62565,1.0848,0.79445,1.20975,0.0011015,0.0011015,0.0011015
14,1311.16,1.2004,0.84079,1.22489,0.8659,0.88092,0.93411,0.61603,1.11329,0.90376,1.22099,0.00108913,0.00108913,0.00108913
15,1404.35,1.19502,0.83659,1.21898,0.87081,0.87989,0.93152,0.61762,1.11134,0.90704,1.22891,0.00107675,0.00107675,0.00107675
16,1496.02,1.17071,0.80394,1.21102,0.85937,0.889,0.91906,0.63069,1.07204,0.97688,1.18114,0.00106437,0.00106437,0.00106437
17,1588.71,1.1578,0.795,1.2033,0.88622,0.88014,0.94177,0.64584,1.06733,0.76542,1.19797,0.001052,0.001052,0.001052
18,1680.48,1.16656,0.78715,1.2052,0.87336,0.89311,0.94028,0.65553,1.03998,0.78514,1.17492,0.00103962,0.00103962,0.00103962
19,1772.32,1.14579,0.77701,1.18603,0.8589,0.89051,0.9332,0.65613,1.01518,0.81428,1.16063,0.00102725,0.00102725,0.00102725
20,1863.8,1.13928,0.77785,1.1843,0.88026,0.88572,0.94057,0.64996,1.05443,0.78672,1.16503,0.00101488,0.00101488,0.00101488
21,1955.45,1.13228,0.7586,1.16974,0.88764,0.8897,0.94677,0.65782,1.0045,0.71506,1.1408,0.0010025,0.0010025,0.0010025
22,2051.63,1.12616,0.7677,1.18038,0.88271,0.89561,0.94272,0.65821,1.00437,0.78016,1.13933,0.000990125,0.000990125,0.000990125
23,2145.28,1.12291,0.75061,1.17081,0.88956,0.89596,0.9465,0.67003,0.99631,0.76916,1.13054,0.00097775,0.00097775,0.00097775
24,2242.93,1.11651,0.74063,1.15688,0.87461,0.9047,0.94202,0.66692,0.98587,0.88861,1.13386,0.000965375,0.000965375,0.000965375
25,2339.98,1.11161,0.72383,1.16878,0.89022,0.89856,0.94881,0.68019,0.97784,0.73642,1.12297,0.000953,0.000953,0.000953
26,2437.85,1.09094,0.72714,1.17048,0.88578,0.89881,0.95005,0.67723,1.00099,0.7203,1.13338,0.000940625,0.000940625,0.000940625
27,2528.62,1.07878,0.74171,1.15353,0.87586,0.89961,0.93484,0.661,0.97296,0.74154,1.11504,0.00092825,0.00092825,0.00092825
28,2618.66,1.09198,0.745,1.15596,0.90895,0.89578,0.95588,0.686,0.93425,0.79771,1.10177,0.000915875,0.000915875,0.000915875
29,2708.63,1.07034,0.71237,1.14476,0.88789,0.90679,0.95282,0.68103,0.93342,0.69173,1.10613,0.0009035,0.0009035,0.0009035
30,2798.28,1.07541,0.71938,1.1578,0.89827,0.90648,0.95402,0.69344,0.92414,0.6824,1.10086,0.000891125,0.000891125,0.000891125
31,2887.77,1.05756,0.69572,1.14,0.89834,0.90669,0.95663,0.69098,0.92256,0.67073,1.09453,0.00087875,0.00087875,0.00087875
32,2977.23,1.05667,0.66479,1.13534,0.88505,0.91399,0.94905,0.68793,0.93598,0.68729,1.10787,0.000866375,0.000866375,0.000866375
33,3066.23,1.06656,0.69415,1.14526,0.89791,0.90404,0.95599,0.69549,0.93465,0.64647,1.10793,0.000854,0.000854,0.000854
34,3155.45,1.02808,0.66812,1.12676,0.89739,0.90196,0.95346,0.70271,0.91891,0.67094,1.09601,0.000841625,0.000841625,0.000841625
35,3246.03,1.0239,0.67359,1.12654,0.91528,0.90487,0.96238,0.70225,0.90853,0.65723,1.08716,0.00082925,0.00082925,0.00082925
36,3335.58,1.0498,0.67953,1.13526,0.89469,0.90915,0.95706,0.70084,0.92737,0.6681,1.10114,0.000816875,0.000816875,0.000816875
37,3426.19,1.05372,0.67605,1.12865,0.91091,0.91162,0.9622,0.71398,0.90579,0.61433,1.09337,0.0008045,0.0008045,0.0008045
38,3521.02,1.01445,0.65103,1.11172,0.88808,0.92815,0.96142,0.71607,0.88914,0.59156,1.0766,0.000792125,0.000792125,0.000792125
39,3614.04,1.03766,0.64738,1.11962,0.91829,0.90885,0.96463,0.71206,0.87784,0.61049,1.07125,0.00077975,0.00077975,0.00077975
40,3706.05,1.01666,0.64212,1.11593,0.91242,0.9131,0.96339,0.70146,0.90873,0.66483,1.07712,0.000767375,0.000767375,0.000767375
41,3795.09,1.01056,0.63785,1.11104,0.89835,0.92058,0.95856,0.71079,0.8935,0.69517,1.07346,0.000755,0.000755,0.000755
42,3884.74,1.00507,0.63456,1.10437,0.91396,0.92574,0.96772,0.72295,0.85916,0.63809,1.05839,0.000742625,0.000742625,0.000742625
43,3974.35,1.01141,0.62827,1.10055,0.8977,0.90924,0.95181,0.71277,0.86133,0.66333,1.06134,0.00073025,0.00073025,0.00073025
44,4064.51,0.99826,0.63483,1.10387,0.90036,0.92477,0.95469,0.71885,0.84352,0.64053,1.04415,0.000717875,0.000717875,0.000717875
45,4154.14,0.96616,0.62914,1.09339,0.89372,0.92409,0.96204,0.71665,0.85307,0.68567,1.05397,0.0007055,0.0007055,0.0007055
46,4244.18,1.00892,0.63899,1.10706,0.90384,0.92107,0.95875,0.71863,0.86769,0.65683,1.06233,0.000693125,0.000693125,0.000693125
47,4337.27,0.98379,0.61328,1.09784,0.90296,0.92771,0.95978,0.72714,0.8433,0.60656,1.0486,0.00068075,0.00068075,0.00068075
48,4434.28,0.95448,0.60041,1.08722,0.92942,0.91465,0.96837,0.74115,0.83453,0.57135,1.04166,0.000668375,0.000668375,0.000668375
49,4531.98,0.96678,0.6111,1.093,0.90014,0.92649,0.96734,0.72527,0.84157,0.54416,1.04239,0.000656,0.000656,0.000656
50,4627.37,0.98903,0.6141,1.09468,0.91135,0.93024,0.96771,0.73772,0.83552,0.5494,1.04373,0.000643625,0.000643625,0.000643625
51,4722.09,0.975,0.60533,1.09108,0.92566,0.92308,0.96754,0.73579,0.83368,0.5891,1.03578,0.00063125,0.00063125,0.00063125
52,4817.07,0.9711,0.60132,1.09535,0.92104,0.92897,0.97161,0.74222,0.82642,0.52523,1.03144,0.000618875,0.000618875,0.000618875
53,4911.39,0.96659,0.62507,1.07853,0.91575,0.92838,0.96829,0.73327,0.81916,0.54332,1.02809,0.0006065,0.0006065,0.0006065
54,5004.81,0.95956,0.59029,1.08079,0.91652,0.94181,0.97075,0.74718,0.79832,0.54054,1.01631,0.000594125,0.000594125,0.000594125
55,5097.65,0.94519,0.57163,1.06592,0.92419,0.92925,0.9692,0.74389,0.81901,0.53368,1.02909,0.00058175,0.00058175,0.00058175
56,5189.29,0.94507,0.57987,1.07452,0.92301,0.94309,0.97251,0.7508,0.7974,0.5432,1.01503,0.000569375,0.000569375,0.000569375
57,5281.51,0.93731,0.56355,1.06535,0.92435,0.93687,0.97315,0.75392,0.80372,0.52655,1.01655,0.000557,0.000557,0.000557
58,5373.29,0.91123,0.56411,1.05573,0.90984,0.95328,0.96888,0.75343,0.78116,0.51332,1.00723,0.000544625,0.000544625,0.000544625
59,5465.62,0.91136,0.56289,1.0671,0.92487,0.94565,0.9748,0.75935,0.77851,0.48898,1.00813,0.00053225,0.00053225,0.00053225
60,5557.25,0.92257,0.56013,1.05396,0.92393,0.93708,0.97246,0.75935,0.79431,0.50464,1.01538,0.000519875,0.000519875,0.000519875
